,country,iso_code,date,indicator,value,year_month,population,hos_per_pop
0,Algeria,DZA,2020-07-17,Daily ICU occupancy,62.0,2020-07,44991656,0.00013780332957737763
1,Algeria,DZA,2020-07-18,Daily ICU occupancy,67.0,2020-07,44991656,0.00014891650131748874
2,Algeria,DZA,2020-07-20,Daily ICU occupancy,64.0,2020-07,44991656,0.00014224859827342208
3,Algeria,DZA,2020-07-21,Daily ICU occupancy,56.0,2020-07,44991656,0.00012446752348924432
4,Algeria,DZA,2020-07-22,Daily ICU occupancy,51.0,2020-07,44991656,0.00011335435174913321
5,Algeria,DZA,2020-07-23,Daily ICU occupancy,66.0,2020-07,44991656,0.00014669386696946653
6,Algeria,DZA,2020-07-25,Daily ICU occupancy,63.0,2020-07,44991656,0.00014002596392539984
7,Algeria,DZA,2020-07-26,Daily ICU occupancy,64.0,2020-07,44991656,0.00014224859827342208
8,Algeria,DZA,2020-07-27,Daily ICU occupancy,58.0,2020-07,44991656,0.00012891279218528876
9,Algeria,DZA,2020-07-31,Daily ICU occupancy,65.0,2020-07,44991656,0.00014447123262144432
10,Algeria,DZA,2020-08-01,Daily ICU occupancy,64.0,2020-08,44991656,0.00014224859827342208
11,Algeria,DZA,2020-08-02,Daily ICU occupancy,54.0,2020-08,44991656,0.00012002225479319987
12,Algeria,DZA,2020-08-04,Daily ICU occupancy,54.0,2020-08,44991656,0.00012002225479319987
13,Algeria,DZA,2020-08-05,Daily ICU occupancy,55.0,2020-08,44991656,0.0001222448891412221
14,Algeria,DZA,2020-08-06,Daily ICU occupancy,63.0,2020-08,44991656,0.00014002596392539984
15,Algeria,DZA,2020-08-09,Daily ICU occupancy,57.0,2020-08,44991656,0.00012669015783726653
16,Algeria,DZA,2020-08-10,Daily ICU occupancy,47.0,2020-08,44991656,0.00010446381435704433
17,Algeria,DZA,2020-08-12,Daily ICU occupancy,53.0,2020-08,44991656,0.00011779962044517766
18,Algeria,DZA,2020-08-13,Daily ICU occupancy,44.0,2020-08,44991656,9.779591131297767e-05
19,Algeria,DZA,2020-08-14,Daily ICU occupancy,46.0,2020-08,44991656,0.00010224118000902213
20,Algeria,DZA,2020-08-15,Daily ICU occupancy,37.0,2020-08,44991656,8.223747087682215e-05
