,country,date,vaccine,total_vaccinations
0,Austria,2021-01-08,Johnson&Johnson,0
1,Austria,2021-01-08,Moderna,0
2,Austria,2021-01-08,Oxford/AstraZeneca,0
3,Austria,2021-01-08,Pfizer/BioNTech,31513
4,Austria,2021-01-15,Johnson&Johnson,0
5,Austria,2021-01-15,Moderna,95
6,Austria,2021-01-15,Oxford/AstraZeneca,0
7,Austria,2021-01-15,Pfizer/BioNTech,116840
8,Austria,2021-01-22,Johnson&Johnson,0
9,Austria,2021-01-22,Moderna,333
10,Austria,2021-01-22,Oxford/AstraZeneca,0
11,Austria,2021-01-22,Pfizer/BioNTech,214492
12,Austria,2021-01-29,Johnson&Johnson,0
13,Austria,2021-01-29,Moderna,4324
14,Austria,2021-01-29,Oxford/AstraZeneca,0
15,Austria,2021-01-29,Pfizer/BioNTech,259594
16,Austria,2021-02-05,Johnson&Johnson,0
17,Austria,2021-02-05,Moderna,6034
18,Austria,2021-02-05,Oxford/AstraZeneca,0
19,Austria,2021-02-05,Pfizer/BioNTech,355910
20,Austria,2021-02-12,Johnson&Johnson,0
21,Austria,2021-02-12,Moderna,10153
22,Austria,2021-02-12,Oxford/AstraZeneca,10805
23,Austria,2021-02-12,Pfizer/BioNTech,458029
24,Austria,2021-02-19,Johnson&Johnson,0
25,Austria,2021-02-19,Moderna,14311
26,Austria,2021-02-19,Oxford/AstraZeneca,43634
27,Austria,2021-02-19,Pfizer/BioNTech,524150
28,Austria,2021-02-26,Johnson&Johnson,0
29,Austria,2021-02-26,Moderna,22782
30,Austria,2021-02-26,Oxford/AstraZeneca,101570
31,Austria,2021-02-26,Pfizer/BioNTech,585732
32,Austria,2021-03-05,Johnson&Johnson,3
33,Austria,2021-03-05,Moderna,32155
34,Austria,2021-03-05,Oxford/AstraZeneca,156682
35,Austria,2021-03-05,Pfizer/BioNTech,690714
36,Austria,2021-03-12,Johnson&Johnson,5
37,Austria,2021-03-12,Moderna,47581
38,Austria,2021-03-12,Oxford/AstraZeneca,235712
39,Austria,2021-03-12,Pfizer/BioNTech,854367
40,Austria,2021-03-19,Johnson&Johnson,32
41,Austria,2021-03-19,Moderna,79444
42,Austria,2021-03-19,Oxford/AstraZeneca,309216
43,Austria,2021-03-19,Pfizer/BioNTech,987678
44,Austria,2021-03-26,Johnson&Johnson,55
45,Austria,2021-03-26,Moderna,104951
46,Austria,2021-03-26,Oxford/AstraZeneca,384898
47,Austria,2021-03-26,Pfizer/BioNTech,1135272
48,Austria,2021-04-02,Johnson&Johnson,95
49,Austria,2021-04-02,Moderna,141505
50,Austria,2021-04-02,Oxford/AstraZeneca,423630
51,Austria,2021-04-02,Pfizer/BioNTech,1284503
52,Austria,2021-04-09,Johnson&Johnson,178
53,Austria,2021-04-09,Moderna,181252
54,Austria,2021-04-09,Oxford/AstraZeneca,514244
55,Austria,2021-04-09,Pfizer/BioNTech,1507652
56,Austria,2021-04-16,Johnson&Johnson,197
57,Austria,2021-04-16,Moderna,224044
58,Austria,2021-04-16,Oxford/AstraZeneca,610453
59,Austria,2021-04-16,Pfizer/BioNTech,1743608
60,Austria,2021-04-23,Johnson&Johnson,206
61,Austria,2021-04-23,Moderna,261688
62,Austria,2021-04-23,Oxford/AstraZeneca,659623
63,Austria,2021-04-23,Pfizer/BioNTech,2009334
64,Austria,2021-04-30,Johnson&Johnson,505
65,Austria,2021-04-30,Moderna,300950
66,Austria,2021-04-30,Oxford/AstraZeneca,702224
67,Austria,2021-04-30,Pfizer/BioNTech,2285093
68,Austria,2021-05-07,Johnson&Johnson,6702
69,Austria,2021-05-07,Moderna,350613
70,Austria,2021-05-07,Oxford/AstraZeneca,765471
71,Austria,2021-05-07,Pfizer/BioNTech,2618455
72,Austria,2021-05-14,Johnson&Johnson,13871
73,Austria,2021-05-14,Moderna,401063
74,Austria,2021-05-14,Oxford/AstraZeneca,829990
75,Austria,2021-05-14,Pfizer/BioNTech,2920965
76,Austria,2021-05-21,Johnson&Johnson,26321
77,Austria,2021-05-21,Moderna,469552
78,Austria,2021-05-21,Oxford/AstraZeneca,907922
79,Austria,2021-05-21,Pfizer/BioNTech,3302489
80,Austria,2021-05-28,Johnson&Johnson,38755
81,Austria,2021-05-28,Moderna,523610
82,Austria,2021-05-28,Oxford/AstraZeneca,990792
83,Austria,2021-05-28,Pfizer/BioNTech,3641386
84,Austria,2021-06-04,Johnson&Johnson,59663
85,Austria,2021-06-04,Moderna,579562
86,Austria,2021-06-04,Oxford/AstraZeneca,1059288
87,Austria,2021-06-04,Pfizer/BioNTech,4070898
88,Austria,2021-06-11,Johnson&Johnson,81668
89,Austria,2021-06-11,Moderna,643126
90,Austria,2021-06-11,Oxford/AstraZeneca,1154450
91,Austria,2021-06-11,Pfizer/BioNTech,4513629
92,Austria,2021-06-18,Johnson&Johnson,96907
93,Austria,2021-06-18,Moderna,693299
94,Austria,2021-06-18,Oxford/AstraZeneca,1206338
95,Austria,2021-06-18,Pfizer/BioNTech,4973020
96,Austria,2021-06-25,Johnson&Johnson,105722
97,Austria,2021-06-25,Moderna,749576
98,Austria,2021-06-25,Oxford/AstraZeneca,1279813
99,Austria,2021-06-25,Pfizer/BioNTech,5422820
100,Austria,2021-07-02,Johnson&Johnson,131367
101,Austria,2021-07-02,Moderna,810164
102,Austria,2021-07-02,Oxford/AstraZeneca,1386996
103,Austria,2021-07-02,Pfizer/BioNTech,5818592
104,Austria,2021-07-09,Johnson&Johnson,155714
105,Austria,2021-07-09,Moderna,861154
106,Austria,2021-07-09,Oxford/AstraZeneca,1451305
107,Austria,2021-07-09,Pfizer/BioNTech,6152239
108,Austria,2021-07-16,Johnson&Johnson,175291
109,Austria,2021-07-16,Moderna,906308
110,Austria,2021-07-16,Oxford/AstraZeneca,1499727
111,Austria,2021-07-16,Pfizer/BioNTech,6430308
112,Austria,2021-07-23,Johnson&Johnson,192139
113,Austria,2021-07-23,Moderna,953047
114,Austria,2021-07-23,Oxford/AstraZeneca,1526624
115,Austria,2021-07-23,Pfizer/BioNTech,6683859
116,Austria,2021-07-30,Johnson&Johnson,204474
117,Austria,2021-07-30,Moderna,972186
118,Austria,2021-07-30,Oxford/AstraZeneca,1551431
119,Austria,2021-07-30,Pfizer/BioNTech,6898232
120,Austria,2021-08-06,Johnson&Johnson,219914
121,Austria,2021-08-06,Moderna,990166
122,Austria,2021-08-06,Oxford/AstraZeneca,1565704
123,Austria,2021-08-06,Pfizer/BioNTech,7078344
124,Austria,2021-08-13,Johnson&Johnson,230435
125,Austria,2021-08-13,Moderna,999786
126,Austria,2021-08-13,Oxford/AstraZeneca,1570982
127,Austria,2021-08-13,Pfizer/BioNTech,7205354
128,Austria,2021-08-20,Johnson&Johnson,244044
129,Austria,2021-08-20,Moderna,1013818
130,Austria,2021-08-20,Oxford/AstraZeneca,1573608
131,Austria,2021-08-20,Pfizer/BioNTech,7300438
132,Austria,2021-08-27,Johnson&Johnson,257964
133,Austria,2021-08-27,Moderna,1017659
134,Austria,2021-08-27,Oxford/AstraZeneca,1575344
135,Austria,2021-08-27,Pfizer/BioNTech,7360485
136,Austria,2021-09-03,Johnson&Johnson,271047
137,Austria,2021-09-03,Moderna,1022661
138,Austria,2021-09-03,Oxford/AstraZeneca,1577165
139,Austria,2021-09-03,Pfizer/BioNTech,7413592
140,Austria,2021-09-10,Johnson&Johnson,285157
141,Austria,2021-09-10,Moderna,1025830
142,Austria,2021-09-10,Oxford/AstraZeneca,1578200
143,Austria,2021-09-10,Pfizer/BioNTech,7470303
144,Austria,2021-09-17,Johnson&Johnson,296655
145,Austria,2021-09-17,Moderna,1030428
146,Austria,2021-09-17,Oxford/AstraZeneca,1579055
147,Austria,2021-09-17,Pfizer/BioNTech,7542748
148,Austria,2021-09-24,Johnson&Johnson,310565
149,Austria,2021-09-24,Moderna,1034641
150,Austria,2021-09-24,Oxford/AstraZeneca,1580089
151,Austria,2021-09-24,Pfizer/BioNTech,7618360
152,Austria,2021-10-01,Johnson&Johnson,318210
153,Austria,2021-10-01,Moderna,1039248
154,Austria,2021-10-01,Oxford/AstraZeneca,1580720
155,Austria,2021-10-01,Pfizer/BioNTech,7701713
156,Austria,2021-10-08,Johnson&Johnson,322475
157,Austria,2021-10-08,Moderna,1044888
158,Austria,2021-10-08,Oxford/AstraZeneca,1581045
159,Austria,2021-10-08,Pfizer/BioNTech,7815434
160,Austria,2021-10-15,Johnson&Johnson,325349
161,Austria,2021-10-15,Moderna,1051725
