,country,date,variant,num_sequences,perc_sequences,num_sequences_total
0,Angola,2020-07-06,Alpha,0,0.0,3
5,Angola,2020-07-06,B.1.177,0,0.0,3
11,Angola,2020-07-06,Delta,0,0.0,3
19,Angola,2020-07-06,Omicron,0,0.0,3
23,Angola,2020-07-06,non_who,3,100.0,3
24,Angola,2020-08-31,Alpha,0,0.0,1
29,Angola,2020-08-31,B.1.177,0,0.0,1
35,Angola,2020-08-31,Delta,0,0.0,1
43,Angola,2020-08-31,Omicron,0,0.0,1
47,Angola,2020-08-31,non_who,0,0.0,1
48,Angola,2020-09-28,Alpha,0,0.0,10
53,Angola,2020-09-28,B.1.177,0,0.0,10
59,Angola,2020-09-28,Delta,0,0.0,10
67,Angola,2020-09-28,Omicron,0,0.0,10
71,Angola,2020-09-28,non_who,1,10.0,10
72,Angola,2020-10-12,Alpha,0,0.0,29
77,Angola,2020-10-12,B.1.177,0,0.0,29
83,Angola,2020-10-12,Delta,0,0.0,29
91,Angola,2020-10-12,Omicron,0,0.0,29
95,Angola,2020-10-12,non_who,5,17.24,29
96,Angola,2020-10-26,Alpha,0,0.0,7
101,Angola,2020-10-26,B.1.177,0,0.0,7
107,Angola,2020-10-26,Delta,0,0.0,7
115,Angola,2020-10-26,Omicron,0,0.0,7
119,Angola,2020-10-26,non_who,0,0.0,7
120,Angola,2020-12-07,Alpha,0,0.0,6
125,Angola,2020-12-07,B.1.177,0,0.0,6
131,Angola,2020-12-07,Delta,0,0.0,6
139,Angola,2020-12-07,Omicron,0,0.0,6
143,Angola,2020-12-07,non_who,0,0.0,6
144,Angola,2020-12-21,Alpha,0,0.0,93
149,Angola,2020-12-21,B.1.177,0,0.0,93
155,Angola,2020-12-21,Delta,0,0.0,93
163,Angola,2020-12-21,Omicron,0,0.0,93
167,Angola,2020-12-21,non_who,23,24.73,93
168,Angola,2021-01-04,Alpha,0,0.0,5
173,Angola,2021-01-04,B.1.177,0,0.0,5
179,Angola,2021-01-04,Delta,0,0.0,5
187,Angola,2021-01-04,Omicron,0,0.0,5
191,Angola,2021-01-04,non_who,5,100.0,5
192,Angola,2021-01-11,Alpha,0,0.0,16
197,Angola,2021-01-11,B.1.177,0,0.0,16
203,Angola,2021-01-11,Delta,0,0.0,16
211,Angola,2021-01-11,Omicron,0,0.0,16
215,Angola,2021-01-11,non_who,15,93.75,16
216,Angola,2021-01-25,Alpha,3,5.77,52
221,Angola,2021-01-25,B.1.177,2,3.85,52
227,Angola,2021-01-25,Delta,0,0.0,52
235,Angola,2021-01-25,Omicron,0,0.0,52
239,Angola,2021-01-25,non_who,47,90.38,52
240,Angola,2021-02-08,Alpha,4,9.52,42
245,Angola,2021-02-08,B.1.177,0,0.0,42
251,Angola,2021-02-08,Delta,0,0.0,42
259,Angola,2021-02-08,Omicron,0,0.0,42
263,Angola,2021-02-08,non_who,26,61.91,42
264,Angola,2021-02-22,Alpha,1,2.56,39
269,Angola,2021-02-22,B.1.177,1,2.56,39
275,Angola,2021-02-22,Delta,0,0.0,39
283,Angola,2021-02-22,Omicron,0,0.0,39
287,Angola,2021-02-22,non_who,22,56.41,39
288,Angola,2021-03-08,Alpha,7,6.19,113
293,Angola,2021-03-08,B.1.177,1,0.88,113
299,Angola,2021-03-08,Delta,0,0.0,113
307,Angola,2021-03-08,Omicron,0,0.0,113
311,Angola,2021-03-08,non_who,37,32.75,113
312,Angola,2021-03-22,Alpha,12,9.92,121
317,Angola,2021-03-22,B.1.177,0,0.0,121
323,Angola,2021-03-22,Delta,0,0.0,121
331,Angola,2021-03-22,Omicron,0,0.0,121
335,Angola,2021-03-22,non_who,20,16.52,121
336,Angola,2021-04-05,Alpha,32,23.36,137
341,Angola,2021-04-05,B.1.177,0,0.0,137
347,Angola,2021-04-05,Delta,0,0.0,137
355,Angola,2021-04-05,Omicron,0,0.0,137
359,Angola,2021-04-05,non_who,30,21.89,137
360,Angola,2021-04-19,Alpha,21,25.3,83
365,Angola,2021-04-19,B.1.177,0,0.0,83
371,Angola,2021-04-19,Delta,2,2.41,83
379,Angola,2021-04-19,Omicron,0,0.0,83
383,Angola,2021-04-19,non_who,26,31.33,83
384,Angola,2021-05-03,Alpha,11,32.35,34
389,Angola,2021-05-03,B.1.177,0,0.0,34
395,Angola,2021-05-03,Delta,1,2.94,34
403,Angola,2021-05-03,Omicron,0,0.0,34
407,Angola,2021-05-03,non_who,5,14.71,34
408,Angola,2021-05-17,Alpha,0,0.0,5
413,Angola,2021-05-17,B.1.177,0,0.0,5
419,Angola,2021-05-17,Delta,4,80.0,5
427,Angola,2021-05-17,Omicron,0,0.0,5
431,Angola,2021-05-17,non_who,1,20.0,5
432,Angola,2021-05-31,Alpha,7,100.0,7
437,Angola,2021-05-31,B.1.177,0,0.0,7
443,Angola,2021-05-31,Delta,0,0.0,7
451,Angola,2021-05-31,Omicron,0,0.0,7
455,Angola,2021-05-31,non_who,0,0.0,7
456,Angola,2021-06-14,Alpha,17,77.27,22
461,Angola,2021-06-14,B.1.177,0,0.0,22
467,Angola,2021-06-14,Delta,0,0.0,22
475,Angola,2021-06-14,Omicron,0,0.0,22
479,Angola,2021-06-14,non_who,0,0.0,22
480,Angola,2021-06-28,Alpha,30,50.85,59
485,Angola,2021-06-28,B.1.177,0,0.0,59
491,Angola,2021-06-28,Delta,10,16.95,59
499,Angola,2021-06-28,Omicron,0,0.0,59
503,Angola,2021-06-28,non_who,1,1.69,59
504,Angola,2021-07-12,Alpha,9,19.57,46
509,Angola,2021-07-12,B.1.177,0,0.0,46
515,Angola,2021-07-12,Delta,23,50.0,46
