cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat,Id,poisonous
k,s,e,False,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,6573,1
f,f,e,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,d,4426,0
b,s,w,False,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,s,g,7018,0
k,s,g,False,n,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,n,g,5789,0
f,y,n,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,6187,0
x,f,w,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,2508,0
x,f,w,False,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,488,0
f,y,y,False,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p,3673,1
f,f,y,False,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,5364,1
x,y,y,True,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,2582,0
f,y,y,False,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d,3096,1
f,f,w,True,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,1050,0
f,y,g,False,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,1895,1
f,f,n,False,n,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l,6420,0
f,f,y,False,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,6480,1
x,s,n,False,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,7562,1
k,f,n,False,n,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,v,l,2110,0
x,f,e,True,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,743,0
x,s,p,False,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,3505,1
x,f,g,True,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,5119,0
x,y,e,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,1290,0
